#atom|charge|method|property|T(K)|Value|spin multiplicity|unit|reference|
Al|0|exp|H(0)-H(T)|1000|35.345|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|1000|73.4|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|1100|38.52|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|1100|76.426|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|1200|41.695|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|1200|79.189|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|1300|44.87|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|1300|81.73|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|1400|48.045|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|1400|84.083|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|1500|51.22|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|1500|86.273|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|1600|54.395|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|1600|88.323|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|1700|57.57|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|1700|90.247|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|1800|60.746|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|1800|92.062|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|1900|63.921|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|1900|93.779|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2000|67.096|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2000|95.408|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2100|70.271|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2100|96.957|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2200|73.446|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2200|98.434|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2300|76.621|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2300|99.845|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2400|79.796|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2400|101.196|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2500|82.971|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2500|102.493|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2600|86.146|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2600|103.738|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2700|89.321|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2700|104.936|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2790.812|92.204|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2790.812|105.986|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2790.812|386.206|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2790.812|211.333|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2800|386.397|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2800|211.401|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|2900|388.477|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|2900|212.131|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|3000|390.556|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|3000|212.836|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|3100|392.636|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|3100|213.518|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|3200|394.717|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|3200|214.178|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|3300|396.797|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|3300|214.818|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|3400|398.878|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|3400|215.44|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|3500|400.96|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|3500|216.043|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|3600|403.043|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|3600|216.63|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|3700|405.127|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|3700|217.201|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|3800|407.212|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|3800|217.757|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|3900|409.299|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|3900|218.299|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|4000|411.388|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|4000|218.828|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|4100|413.48|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|4100|219.345|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|4200|415.575|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|4200|219.849|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|4300|417.673|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|4300|220.343|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|4400|419.775|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|4400|220.826|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|4500|421.88|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|4500|221.299|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|4600|423.991|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|4600|221.763|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|4700|426.109|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|4700|222.219|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|4800|428.233|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|4800|222.666|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|4900|430.363|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|4900|223.105|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|5000|432.503|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|5000|223.537|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|5100|434.651|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|5100|223.963|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|5200|436.81|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|5200|224.382|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|5300|438.98|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|5300|224.795|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|5400|441.162|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|5400|225.203|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|5500|443.357|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|5500|225.606|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|5600|445.566|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|5600|226.004|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|5700|447.791|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|5700|226.398|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|5800|450.03|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|5800|226.787|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|5900|452.288|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|5900|227.173|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|6000|454.544|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|6000|227.552|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|0|327.320|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|100|329.297|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|200|329.824|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|250|329.804|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|298.15|329.699|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|300|329.694|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|350|329.524|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|400|329.309|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|450|329.060|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|500|328.781|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|600|328.141|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|700|327.385|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|800|326.492|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|900|325.436|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|1000|313.605|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|1100|312.513|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|1200|311.420|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|1300|310.327|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|1400|309.233|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|1500|308.139|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|1600|307.045|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|1700|305.950|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|1800|304.856|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|1900|303.760|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|2000|302.665|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|2100|301.570|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|2200|300.475|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|2300|299.379|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|2400|298.284|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|2500|297.188|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|2600|296.092|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|2700|294.997|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|2800|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|2900|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|3000|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|3100|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|3200|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|3300|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|3400|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|3500|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|3600|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|3700|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|3800|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|3900|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|4000|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|4100|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|4200|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|4300|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|4400|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|4500|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|4600|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|4700|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|4800|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|4900|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|5000|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|5100|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|5200|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|5300|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|5400|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|5500|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|5600|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|5700|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|5800|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|5900|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|DHf(T)|6000|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|0|0|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|0|0|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|100|2.078|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|100|132.137|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|200|4.157|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|200|146.545|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|250|5.196|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|250|151.183|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|298.15|6.197|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|298.15|154.845|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|300|6.235|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|300|154.973|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|350|7.275|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|350|158.177|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|400|8.314|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|400|160.953|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|450|9.353|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|450|163.401|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|500|10.393|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|500|165.591|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|600|12.471|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|600|169.381|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|700|14.55|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|700|172.585|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|800|16.628|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|800|175.361|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|900|18.707|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|900|177.809|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|1000|20.786|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|1000|179.999|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|1100|22.864|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|1100|181.98|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|1200|24.943|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|1200|183.789|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|1300|27.021|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|1300|185.453|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|1400|29.1|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|1400|186.993|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|1500|31.179|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|1500|188.427|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|1600|33.257|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|1600|189.769|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|1700|35.336|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|1700|191.029|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|1800|37.414|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|1800|192.217|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|1900|39.493|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|1900|193.341|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|2000|41.572|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|2000|194.407|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|2100|43.65|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|2100|195.421|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|2200|45.729|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|2200|196.388|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|2300|47.807|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|2300|197.312|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|2400|49.886|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|2400|198.197|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|2500|51.965|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|2500|199.045|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|2600|54.043|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|2600|199.86|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|2700|56.122|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|2700|200.645|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|2800|58.201|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|2800|201.401|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|2900|60.279|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|2900|202.13|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|3000|62.358|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|3000|202.835|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|3100|64.436|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|3100|203.516|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|3200|66.515|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|3200|204.176|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|3300|68.594|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|3300|204.816|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|3400|70.672|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|3400|205.436|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|3500|72.751|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|3500|206.039|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|3600|74.829|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|3600|206.625|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|3700|76.908|1|kJ/mol|http://kinetics.nist.gov/janaf|
Ar|0|exp|S0(T)|3700|207.194|1|J/mol K|http://kinetics.nist.gov/janaf|
Ar|0|exp|H(0)-H(T)|3800|78.987|1|kJ/mol|http://kinetics.nist.gov/janaf|
